https://example.com/j/30290	2026-08-21	workday-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/13218	2026-08-21	workday-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/29940	2026-08-21	greenhouse-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/25855	2026-08-21	greenhouse-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/24588	2026-08-21	greenhouse-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/16202	2026-08-21	lever-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/9774	2026-08-21	lever-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/13170	2026-08-21	ashby-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/13129	2026-08-21	icims-full	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
https://example.com/j/16173	2026-08-21	remoteok-api	Director, Platform Engineering	Sample Co	added	Remote (US)		2026-08-21			sampleco
